id;r1;r2;r3
2127;4227973;-13.5902;5.03956
2131;1523330;-10.6363;2.77676
2134;5988380;-14.4468;4.00039
2141;1630757;-11.1403;2.73202
2142;5935955;-9.692269999999999;1.08079
2144;5165511;-9.78856;2.06785
2147;3986421;-14.1196;4.52308
2148;2777155;-14.0425;4.18215
2160;2665461;-16.658;6.04876
2164;3849163;-13.3307;4.4958800000000005
2168;3857517;-14.887;7.26655
2170;1059745;-9.177389999999999;3.71673
2179;3857445;-13.7912;3.81998
2180;2580099;-15.0837;5.27672
2187;2748673;-14.0438;4.49379
2189;2526303;-10.3172;2.80133
2191;5625517;-13.5769;5.0069099999999995
2216;5246815;-15.0646;3.75397
2217;1433733;-9.89378;1.3918
2221;3251243;-9.651489999999999;-0.509574
2224;3161145;-9.270669999999999;2.42109
2228;1403565;-14.5918;4.8839
2230;1266024;-14.2148;5.74351
2240;3502486;-13.9875;3.81505
2242;1102619;-13.9569;4.44235
2245;4762326;-14.6466;5.306109999999999
2246;1969595;-15.3596;4.07964
2249;2787621;-9.587860000000001;3.4454
2270;5212909;-10.5334;3.6272599999999997
2271;4919516;-14.2154;4.84192
2277;2526788;-14.6169;4.59741
2278;5599474;-14.457;5.50632
2280;2385030;-10.7407;3.00062
2281;2522612;-14.0444;3.87404
2284;2838199;-9.89137;3.06772
2291;4402436;-10.0906;2.64187
2292;3339331;-13.6217;4.65681
2295;5572035;-10.4486;2.00997
2299;2813576;-14.2585;5.76363
2300;3468698;-15.2664;5.9874
2308;4401797;-14.434000000000001;3.91937
2315;2766049;-8.85314;1.8223200000000002
2317;5279381;-10.455;2.4026400000000003
2318;4110317;-9.738389999999999;2.62741
2319;5140780;-13.6941;4.82311
2322;2267434;-8.96916;1.3461
2323;4574798;-13.7718;4.02348
2324;5973767;-14.322000000000001;4.50655
2325;3730454;-10.0887;3.42476
2328;1738306;-9.90907;3.4078199999999996
2332;1527701;-9.818480000000001;1.45044
2333;2987132;-9.87015;3.43089
2339;3393431;-9.92252;1.49444
2344;1160311;-8.67571;3.8346199999999997
2351;3820019;-14.2819;6.0904300000000005
2352;5161339;-13.9803;4.557169999999999
2367;2621751;-14.3746;3.8061599999999998
2373;1743437;-10.8315;2.71794
2375;5338893;-14.0424;4.7404
2377;4875088;-13.8587;5.33704
2382;3755721;-14.014000000000001;4.01814
2383;2578154;-15.040999999999999;5.22623
2390;3696232;-8.67262;3.9331400000000003
2395;5743972;-14.3512;3.91895
2397;1301587;-10.9439;3.24726
2404;2325317;-13.3683;4.73948
2411;5107159;-14.9945;5.76604
2414;1990345;-10.1025;2.8761400000000004
2418;5481159;-15.0294;4.51411
2436;1277315;-9.987860000000001;1.57671
2439;2063539;-14.9543;4.1603699999999995
2446;4747791;-16.055;4.71948
2452;1494899;-15.3112;5.62589
2453;4643179;-14.1;4.65908
2457;1440213;-8.16138;3.78515
2460;5345511;-10.5003;2.9746099999999998
2463;1862562;-13.8852;5.11873
2472;3357215;-13.9258;5.65048
2483;3301708;-9.67963;1.7975299999999999
2484;5420106;-14.4632;6.49871
2485;5401509;-13.9646;4.60121
2492;4158571;-10.4713;2.19475
2506;3380797;-15.7044;7.0441899999999995
2509;5567577;-14.65;3.9652199999999995
2510;1057537;-14.8108;4.1576900000000006
